"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
"Attivita' dei servizi di alloggio e di ristorazione";"";"1.314.764 ";"232.733.886 ";"12.883.850.377 ";"33.786.681 ";"45.235.055 ";"1.362.765 ";"242.682.407 ";"13.516.174.233 ";"34.711.701 ";"46.562.618 ";"1.418.735 ";"261.882.252 ";"14.580.605.864 ";"36.943.451 ";"49.750.802 ";"1.628.723 ";"287.335.424 ";"15.733.620.979 ";"41.210.381 ";"55.724.183 ";"1.709.822 ";"302.147.019 ";"16.635.355.415 ";"43.546.372 ";"58.870.415 "
"Servizi di informazione e comunicazione";"";"484.076 ";"123.572.249 ";"14.199.592.353 ";"19.884.145 ";"21.453.076 ";"512.274 ";"125.226.577 ";"14.585.206.024 ";"20.048.960 ";"21.631.544 ";"507.688 ";"128.821.768 ";"15.054.279.999 ";"20.776.151 ";"22.274.102 ";"515.074 ";"130.531.665 ";"15.370.185.555 ";"21.075.475 ";"22.569.612 ";"538.243 ";"134.719.669 ";"16.079.138.962 ";"21.751.881 ";"23.269.841 "
"Attivita' finanziarie e assicurative";"";"524.172 ";"155.693.367 ";"24.483.750.413 ";"25.309.607 ";"26.342.592 ";"526.060 ";"155.507.071 ";"24.535.266.336 ";"25.234.926 ";"26.294.583 ";"528.815 ";"157.642.789 ";"24.958.758.912 ";"25.475.298 ";"26.650.922 ";"517.503 ";"153.947.362 ";"24.588.004.317 ";"24.926.724 ";"26.031.136 ";"513.814 ";"152.715.613 ";"24.797.012.883 ";"24.728.264 ";"25.825.141 "
"Attivita' immobiliari";"";"39.039 ";"9.861.059 ";"899.035.012 ";"1.416.714 ";"1.722.744 ";"44.362 ";"10.461.690 ";"940.052.306 ";"1.487.344 ";"1.831.097 ";"45.865 ";"11.717.862 ";"1.019.529.421 ";"1.634.186 ";"2.039.510 ";"48.569 ";"12.316.630 ";"1.075.063.613 ";"1.715.948 ";"2.148.291 ";"50.361 ";"12.705.932 ";"1.119.948.207 ";"1.767.258 ";"2.217.176 "
"Attivita' professionali, scientifiche e tecniche";"";"422.091 ";"109.436.790 ";"9.451.321.132 ";"16.509.896 ";"19.094.835 ";"454.486 ";"112.726.620 ";"9.855.988.495 ";"16.960.955 ";"19.667.021 ";"471.442 ";"121.567.618 ";"10.630.371.692 ";"18.199.695 ";"21.174.320 ";"483.905 ";"124.392.092 ";"11.098.569.829 ";"18.654.514 ";"21.668.218 ";"492.922 ";"126.667.407 ";"11.537.454.217 ";"19.064.364 ";"22.060.045 "
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"";"1.413.271 ";"301.748.663 ";"19.108.447.272 ";"43.973.196 ";"55.075.495 ";"1.486.149 ";"312.265.260 ";"19.976.398.402 ";"45.431.173 ";"56.877.239 ";"1.557.678 ";"333.624.359 ";"21.424.021.634 ";"48.697.909 ";"60.782.769 ";"1.714.250 ";"360.930.994 ";"23.403.497.310 ";"53.286.132 ";"66.061.222 ";"1.778.382 ";"376.922.862 ";"24.667.689.964 ";"55.760.016 ";"68.820.860 "
"Istruzione";"";"474.114 ";"95.179.957 ";"6.233.655.280 ";"15.350.239 ";"17.241.250 ";"473.552 ";"95.849.354 ";"6.311.506.132 ";"15.296.498 ";"17.238.203 ";"489.345 ";"98.531.440 ";"6.648.535.018 ";"15.549.362 ";"17.643.307 ";"494.157 ";"100.596.530 ";"6.786.462.377 ";"15.824.464 ";"18.029.028 ";"513.102 ";"106.609.058 ";"7.451.810.848 ";"16.888.772 ";"19.085.312 "
"Sanita' e assistenza sociale";"";"658.373 ";"171.487.633 ";"11.461.604.676 ";"25.185.130 ";"30.348.171 ";"705.049 ";"178.300.447 ";"11.864.853.182 ";"26.035.251 ";"31.553.274 ";"741.007 ";"190.723.613 ";"12.670.095.038 ";"27.715.735 ";"33.768.062 ";"775.171 ";"198.811.016 ";"13.216.098.175 ";"28.875.103 ";"35.193.745 ";"805.078 ";"206.020.746 ";"13.709.079.678 ";"29.918.503 ";"36.452.736 "
"Attivita' artistiche, sportive, di intrattenimento e divertimento";"";"190.632 ";"30.746.924 ";"2.488.974.941 ";"4.872.041 ";"5.993.652 ";"207.410 ";"32.671.057 ";"2.842.111.132 ";"5.068.290 ";"6.110.500 ";"208.512 ";"34.981.805 ";"2.979.728.223 ";"5.343.773 ";"6.473.453 ";"230.550 ";"37.587.490 ";"3.242.307.965 ";"5.777.307 ";"7.035.632 ";"238.980 ";"38.396.276 ";"3.232.387.347 ";"5.900.345 ";"7.220.398 "
"Altre attivita' di servizi";"";"464.327 ";"109.173.478 ";"7.375.909.753 ";"16.527.924 ";"19.904.325 ";"469.473 ";"108.645.275 ";"7.385.688.662 ";"16.226.358 ";"19.697.202 ";"468.373 ";"111.797.798 ";"7.523.227.161 ";"16.437.973 ";"20.165.949 ";"480.081 ";"113.772.087 ";"7.587.645.154 ";"16.644.959 ";"20.586.202 ";"484.366 ";"114.354.226 ";"7.655.947.885 ";"16.682.127 ";"20.712.054 "
"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze";"";"44.483 ";"11.397.939 ";"651.209.261 ";"1.680.556 ";"1.974.615 ";"43.945 ";"11.187.877 ";"639.770.720 ";"1.646.552 ";"1.936.479 ";"43.295 ";"11.073.639 ";"633.448.036 ";"1.625.758 ";"1.913.656 ";"42.838 ";"10.919.264 ";"623.315.116 ";"1.599.359 ";"1.887.891 ";"42.251 ";"10.764.507 ";"615.113.879 ";"1.574.878 ";"1.860.126 "
"Totale";"";"14.052.347 ";"3.407.567.604 ";"299.952.693.575 ";"541.427.919 ";"608.334.508 ";"14.462.328 ";"3.471.728.369 ";"308.763.060.010 ";"547.846.667 ";"617.114.489 ";"14.700.314 ";"3.613.144.966 ";"320.461.713.018 ";"566.205.278 ";"640.125.513 ";"15.310.749 ";"3.723.317.795 ";"329.921.873.435 ";"582.784.241 ";"661.217.264 ";"15.714.090 ";"3.819.332.995 ";"341.391.459.079 ";"597.818.614 ";"678.436.179 "
