"TIME_PERIOD","Francia","Germania","Italia","Spagna","UE-27"
1995-01-01,13.2113772000181,12.0963281224669,13.3726601417173,9.81549951374984,NA
1996-01-01,13.1843619588131,12.2541754579015,13.8281692145514,9.97419662570347,NA
1997-01-01,13.2584275196029,12.3621535675906,14.2946938900294,9.84723930140082,NA
1998-01-01,13.1251988829589,12.3807924775046,13.8600701100731,9.63532351310755,NA
1999-01-01,13.1044570181802,12.3978437734686,14.1984665275699,9.36552864213211,NA
2000-01-01,12.7762028990091,12.495543889635,13.7599355755182,9.38504622673414,NA
2001-01-01,12.7952181823731,12.5839824552614,13.6716217220986,9.08900533270182,NA
2002-01-01,12.820594471221,12.7609204087507,13.9206120032109,9.04384830021981,NA
2003-01-01,12.9013128664213,12.9274940758029,13.9877774967021,8.95688584410035,NA
2004-01-01,12.9016777649202,12.7750915814814,13.9503300565778,8.9311965806997,NA
2005-01-01,12.9982309786506,12.6862927880088,14.0138596309946,8.87274625534143,NA
2006-01-01,13.0679870996036,12.2362149551971,13.92441726658,8.76680637149544,NA
2007-01-01,13.1119184439172,11.7898627970829,13.8832698357202,9.02122703451655,NA
2008-01-01,13.3610417127199,11.7665661394458,14.2290153279259,9.25325952507659,11.8154758035291
2009-01-01,14.284128927584,12.4922733449037,15.3461243900979,10.1323469929822,12.7592579689129
2010-01-01,14.3459862807767,12.1172171127574,15.3670270683541,10.5820711232007,12.7077703323588
2011-01-01,14.4684350937331,11.6349707585313,15.3480633261697,11.0750488916337,12.6726988697166
2012-01-01,14.8031752536661,11.6570754683293,15.9303226746794,11.8312817819924,12.950859042558
2013-01-01,15.0347010795708,11.5853606902709,16.3870005607365,12.5651741526366,13.1780647405567
2014-01-01,15.1145473875106,11.4648870918574,16.3590557615587,12.7421779124866,13.1305820766056
2015-01-01,15.0457313195375,11.5495146889634,16.3476008846869,12.5410058945168,12.9690608436644
2016-01-01,15.0968765749484,11.5730243952805,15.9238603455645,12.519738336033,12.859857521011
2017-01-01,14.9663205669377,11.5064161795918,15.7152823198488,12.3518457741038,12.6617523363301
2018-01-01,14.907381996523,11.5524139277731,15.7058011264161,12.4707814062144,12.5794546833236
2019-01-01,14.7534712097672,11.7402480423664,15.8305113757428,12.6341338906127,12.5703176312382
2020-01-01,15.8167193365484,12.4833494703764,17.5264020573746,14.3911756318997,13.4893117106188
2021-01-01,14.8635237087419,11.9993632461661,16.1919024042997,13.7684273404378,12.7384779605456
2022-01-01,14.6580505058558,11.5741151030009,15.4775657300941,12.9982593553281,12.2127525243723
