"lon","lat","region","1991-2020","2025","aumento","var_pct","tile_id"
6.7,45.1,"Piemonte",8.66032531738283,13.4967753092448,4.83644999186198,0.558460544450259,"6.7_45.1"
6.8,44.9,"Piemonte",8.62251142713761,13.1091664632162,4.48665503607856,0.520342022622054,"6.8_44.9"
6.8,45,"Piemonte",8.95538296169707,13.7017415364584,4.74635857476128,0.530000625887453,"6.8_45"
6.8,45.1,"Piemonte",9.80012668185766,14.5122701009115,4.71214341905382,0.480824745641003,"6.8_45.1"
6.8,45.8,"Valle d'Aosta",6.88870025634768,11.5948038736979,4.70610361735026,0.683162779947315,"6.8_45.8"
6.9,44.4,"Piemonte",10.3908932495117,14.5486643473308,4.15777109781901,0.400136061258678,"6.9_44.4"
6.9,44.5,"Piemonte",9.30434522840714,13.6115641276042,4.30721889919705,0.462925524952219,"6.9_44.5"
6.9,44.9,"Piemonte",8.02740407307945,12.4031951904297,4.37579111735026,0.545106621955761,"6.9_44.9"
6.9,45,"Piemonte",9.03919104682077,13.6540903727214,4.61489932590061,0.510543399514024,"6.9_45"
6.9,45.1,"Piemonte",10.9509503173828,15.4089762369792,4.45802591959635,0.407090324619588,"6.9_45.1"
6.9,45.7,"Valle d'Aosta",7.1203813340929,12.0000132242839,4.87963189019097,0.685304853944681,"6.9_45.7"
6.9,45.8,"Valle d'Aosta",6.30787448459204,10.9973500569662,4.68947557237413,0.74343197281888,"6.9_45.8"
7,44.3,"Piemonte",10.501679280599,14.5246927897136,4.02301350911458,0.383082876711611,"7_44.3"
7,44.4,"Piemonte",11.0328087361654,15.0862803141276,4.05347157796224,0.367401599619417,"7_44.4"
7,44.5,"Piemonte",10.085419277615,14.302143351237,4.21672407362196,0.418101018663759,"7_44.5"
7,44.6,"Piemonte",8.62978312174481,12.9367767333985,4.30699361165365,0.499084803278675,"7_44.6"
7,44.9,"Piemonte",8.6374502902561,12.8869659423828,4.24951565212674,0.49198727741688,"7_44.9"
7,45,"Piemonte",9.75045664469403,14.1015920003255,4.35113535563151,0.446249392637349,"7_45"
7,45.1,"Piemonte",11.7901832411025,15.8808013916016,4.09061815049913,0.346951193789643,"7_45.1"
7,45.2,"Piemonte",10.5708231268989,14.5700083414714,3.99918521457248,0.3783229713111,"7_45.2"
7,45.6,"Valle d'Aosta",7.2186021253798,12.1651672363281,4.94656511094835,0.685252494185375,"7_45.6"
7,45.7,"Valle d'Aosta",7.77958940294056,12.7914225260417,5.01183312310113,0.644228488614931,"7_45.7"
7,45.8,"Valle d'Aosta",6.83230804443362,11.6101776123047,4.77786956787109,0.699305349934229,"7_45.8"
7,45.9,"Valle d'Aosta",5.29992499457468,9.90965270996096,4.60972771538628,0.86977225528759,"7_45.9"
7.1,44.3,"Piemonte",10.6771503024631,14.6677897135417,3.99063941107856,0.373755103003275,"7.1_44.3"
7.1,44.4,"Piemonte",12.0035583496094,16.1232930501302,4.11973470052084,0.343209453441353,"7.1_44.4"
7.1,44.5,"Piemonte",11.2291036648221,15.3299275716146,4.10082390679253,0.365196014677411,"7.1_44.5"
7.1,44.6,"Piemonte",9.96119757758249,14.0288167317709,4.06761915418837,0.408346398363032,"7.1_44.6"
7.1,44.7,"Piemonte",10.0367753092448,14.1476420084636,4.11086669921875,0.409580425241985,"7.1_44.7"
7.1,44.8,"Piemonte",10.9987464735243,15.0240041097005,4.02525763617622,0.365974217686136,"7.1_44.8"
7.1,44.9,"Piemonte",10.8650746324327,14.8555725097656,3.9904978773329,0.367277539486115,"7.1_44.9"
7.1,45,"Piemonte",11.3528426106771,15.3362996419271,3.98345703125,0.350877499834592,"7.1_45"
7.1,45.1,"Piemonte",12.5176042005751,16.4525492350261,3.93494503445096,0.314352888252384,"7.1_45.1"
7.1,45.2,"Piemonte",10.7099045817058,14.6596852620443,3.94978068033854,0.368797000029805,"7.1_45.2"
7.1,45.3,"Piemonte",7.59244873046877,11.6151448567709,4.02269612630208,0.529828553225372,"7.1_45.3"
7.1,45.5,"Valle d'Aosta",5.65749620225697,10.023198445638,4.36570224338108,0.771666844714708,"7.1_45.5"
7.1,45.6,"Valle d'Aosta",7.12708533393014,11.8641906738281,4.737105339898,0.664662357464125,"7.1_45.6"
7.1,45.7,"Valle d'Aosta",9.72052198621964,15.0280731201172,5.30755113389757,0.546015033083805,"7.1_45.7"
7.1,45.8,"Valle d'Aosta",8.93224463568796,13.975424194336,5.043179558648,0.564603833005026,"7.1_45.8"
7.2,44.2,"Piemonte",10.3204629516602,13.9986165364584,3.67815358479818,0.356394243361583,"7.2_44.2"
7.2,44.3,"Piemonte",11.4346109347873,15.5361694335938,4.10155849880642,0.358696812877849,"7.2_44.3"
7.2,44.4,"Piemonte",13.4483054945204,17.7284434000651,4.28013790554471,0.318265963491733,"7.2_44.4"
7.2,44.5,"Piemonte",13.0014126586914,17.0180430094401,4.0166303507487,0.30893799436968,"7.2_44.5"
7.2,44.6,"Piemonte",12.1778340996637,16.0876434326172,3.90980933295356,0.321059500478952,"7.2_44.6"
7.2,44.7,"Piemonte",13.0298578559028,16.8872721354167,3.85741427951389,0.296044233342607,"7.2_44.7"
7.2,44.8,"Piemonte",14.4323567030165,18.1321065266927,3.69974982367621,0.256351052001294,"7.2_44.8"
7.2,44.9,"Piemonte",14.0986428493924,17.7645823160808,3.66593946668837,0.260020734325245,"7.2_44.9"
7.2,45,"Piemonte",13.9006357489692,17.6096964518229,3.70906070285373,0.266826695543675,"7.2_45"
7.2,45.1,"Piemonte",13.8888663058811,17.6256378173828,3.73677151150174,0.269047986293844,"7.2_45.1"
