"year","temp_media"
1950,20.4090996217404
1951,18.4159495761519
1952,20.3682446218062
1953,16.9772773188182
1954,18.5749605417203
1955,18.2832062873424
1956,16.3832769926816
1957,18.7789083796959
1958,17.666567035602
1959,17.7504918312668
1960,18.770746716379
1961,18.5446902539962
1962,17.1854720004331
1963,17.7407395323388
1964,19.4069980300109
1965,18.204962693219
1966,18.9465123711237
1967,16.7139261033277
1968,17.1609813888892
1969,16.56677010536
1970,18.5147725621099
1971,17.0186984964818
1972,17.5674925438337
1973,18.4274206640987
1974,17.0583551791315
1975,16.5247243091504
1976,18.1091969628871
1977,16.8823216988664
1978,16.9858487671728
1979,18.9858980775346
1980,16.4776022399186
1981,18.5288130520056
1982,19.7914012485604
1983,17.8501243903899
1984,16.7708857890729
1985,17.6746490905775
1986,17.4731738493623
1987,17.4889730882714
1988,17.5351980506625
1989,17.0307692117988
1990,18.4285251192529
1991,17.7993553863771
1992,17.0487700432693
1993,19.3505619390722
1994,18.5668595013806
1995,17.1920000870728
1996,18.9380225945187
1997,19.1101394703586
1998,19.6713508400182
1999,19.2340271919727
2000,19.8055062249828
2001,18.7329134279204
2002,20.3448325493514
2003,22.695931739171
2004,18.7394062431011
2005,19.7153105988875
2006,19.4259527236659
2007,19.4631423007713
2008,19.1538617918515
2009,18.9280803018326
2010,18.5466376914295
2011,19.0274143617193
2012,20.8031457119919
2013,18.0854413515358
2014,19.1458387136509
2015,19.6298134841275
2016,18.9094136885859
2017,21.6207914764361
2018,19.4298851341482
2019,21.6260849112122
2020,18.5392297906151
2021,21.201750727232
2022,22.6126444643212
2023,19.7242481523074
2024,20.3096107924306
2025,22.7645322353967
