"region","baseline","temp_2025","aumento","var_pct"
"Abruzzo",17.8861569317317,21.2494571405616,3.36330020882989,0.18803928768304
"Basilicata",20.6798381868214,24.3865816752116,3.70674348839026,0.179244317818331
"Calabria",20.6217989777772,23.436262904771,2.81446392699376,0.136480038915457
"Campania",20.148424360245,23.8811574808757,3.73273312063066,0.185261787914083
"Emilia-Romagna",20.7811608675464,24.1766721937392,3.39551132619276,0.163393727031653
"Friuli-Venezia Giulia",17.4264507222893,20.7754080858418,3.34895736355252,0.192176675383992
"Lazio",20.0721665130837,23.8136191713637,3.74145265828009,0.186400040864612
"Liguria",18.2312015350974,21.8289869577871,3.59778542268972,0.197342200170599
"Lombardia",18.2602882444225,21.7207400004069,3.46045175598439,0.189506962303367
"Marche",19.9888468504264,23.3983205658159,3.40947371538948,0.170568804739066
"Molise",19.6823506141281,23.1171525743273,3.43480196019923,0.174511775932582
"Piemonte",16.7497307759135,20.3403493526064,3.5906185766929,0.214368733726531
"Puglia",22.7467312020023,25.8736767567745,3.1269455547722,0.137467908114066
"Sardegna",21.197545989849,25.0713441128201,3.87379812297115,0.182747480525633
"Sicilia",21.9218400195313,24.1666267903646,2.24478677083333,0.102399559928972
"Toscana",19.9559463655106,23.8087910085485,3.85284464303789,0.193067498402214
"Trentino-Alto Adige",11.8307342604649,15.7502807550701,3.91954649460515,0.331302048403133
"Umbria",19.7636560084394,23.8677723870761,4.10411637863675,0.207659775948551
"Valle d'Aosta",9.04408124796552,13.3929442342123,4.34886298624675,0.480851826405809
"Veneto",18.9701194817437,22.2636864318848,3.29356695014106,0.173618671896647
