CNTR_ID,valore
AT,0.1
BE,0.4
BG,1.9
CH,1.8
CY,1.4
CZ,0.5
DE,0.4
DK,1.9
EE,1.2
EL,2.6
ES,0.7
FI,1.4
FR,1.5
HR,2.4
HU,0.1
IE,10.5
IS,2
IT,-0.6
LT,2.9
LU,0
LV,4.2
MT,-0.8
NL,2.4
NO,0.6
PL,4.1
PT,0
RO,3.9
RS,2.2
SE,2.5
SI,2.8
SK,1.6
