anno,attivita_economica_ateco_2007,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2017,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 6 e meno di 12 mesi,4356,203307,152819,1077444,56697679
2017,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Anno intero,30100,1565199,1372129,9371608,542099011
2017,Attivita' finanziarie e assicurative,Fino a 3 mesi,8946,93394,78803,419255,55757304
2017,Attivita' finanziarie e assicurative,Oltre 3 e fino a 6 mesi,10628,276441,237000,1334475,169660255
2017,Attivita' finanziarie e assicurative,Oltre 6 e meno di 12 mesi,47752,2252100,2023166,12150532,1470757686
2017,Attivita' finanziarie e assicurative,Anno intero,450177,23409201,22587755,140043100,22891829072
2017,Attivita' immobiliari,Fino a 3 mesi,4866,52067,32994,196461,12721801
2017,Attivita' immobiliari,Oltre 3 e fino a 6 mesi,4127,108158,73154,501207,31023050
2017,Attivita' immobiliari,Oltre 6 e meno di 12 mesi,9332,415378,303755,2200984,141126873
2017,Attivita' immobiliari,Anno intero,30244,1572688,1306044,9417978,890191889
2017,Attivita' manifatturiere,Fino a 3 mesi,215882,2254870,1826709,8792250,634190195
2017,Attivita' manifatturiere,Oltre 3 e fino a 6 mesi,188105,5073982,4165119,22541486,1610557168
2017,Attivita' manifatturiere,Oltre 6 e meno di 12 mesi,735812,35187908,31783439,183750624,14293282063
2017,Attivita' manifatturiere,Anno intero,2629896,136754557,132012127,817882710,89012071585
2017,"Attivita' professionali, scientifiche e tecniche",Fino a 3 mesi,52437,514304,385242,1748246,111424935
2017,"Attivita' professionali, scientifiche e tecniche",Oltre 3 e fino a 6 mesi,32275,877535,659981,3832182,252199644
2017,"Attivita' professionali, scientifiche e tecniche",Oltre 6 e meno di 12 mesi,77709,3559234,2828029,18716072,1317492084
2017,"Attivita' professionali, scientifiche e tecniche",Anno intero,321484,16717145,14781261,100095592,9417453166
2017,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Fino a 3 mesi,213819,2198348,1476403,8410319,496369397
2017,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 3 e fino a 6 mesi,170215,4553070,3145192,20319078,1196199071
2017,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 6 e meno di 12 mesi,470754,21847347,16705917,114038354,7335196944
2017,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Anno intero,1461103,75977284,67018893,454695735,39317586187
2017,Costruzioni,Fino a 3 mesi,162704,1513294,1381809,6048771,457328999
2017,Costruzioni,Oltre 3 e fino a 6 mesi,107903,2866501,2650193,12699714,958777815
2017,Costruzioni,Oltre 6 e meno di 12 mesi,305580,14605803,13927194,73940981,5904896440
2017,Costruzioni,Anno intero,347119,18050185,17206737,107705908,9445205512
2017,Estrazione di minerali da cave e miniere,Fino a 3 mesi,1363,14178,12977,57254,6304951
2017,Estrazione di minerali da cave e miniere,Oltre 3 e fino a 6 mesi,1468,42384,39022,177766,18220896
2017,Estrazione di minerali da cave e miniere,Oltre 6 e meno di 12 mesi,7451,362560,349935,1888631,205348244
2017,Estrazione di minerali da cave e miniere,Anno intero,30752,1599104,1579197,9566570,1574114954
2017,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Fino a 3 mesi,7389,71857,56672,310156,21269873
2017,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 3 e fino a 6 mesi,7133,179326,149348,866059,60557928
2017,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 6 e meno di 12 mesi,25673,1206077,1102520,6448064,531282247
2017,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Anno intero,125577,6530004,6347252,39075532,4079441443
2017,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Fino a 3 mesi,1014,9571,8533,44488,5713322
2017,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 3 e fino a 6 mesi,1406,34886,32250,177596,23127957
2017,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 6 e meno di 12 mesi,7085,337495,326356,1849988,240677547
2017,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Anno intero,71085,3696418,3654378,22130866,3520266933
2017,Istruzione,Fino a 3 mesi,79799,793650,616841,3301255,209304936
2017,Istruzione,Oltre 3 e fino a 6 mesi,83121,2145314,1831012,10788928,657598887
2017,Istruzione,Oltre 6 e meno di 12 mesi,206984,8628920,7736342,47844938,3132364260
2017,Istruzione,Anno intero,124253,6461144,5640269,38661409,2787194294
2017,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Fino a 3 mesi,348248,3083218,2071783,11180191,604785711
2017,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 3 e fino a 6 mesi,209149,5544639,4101347,24634109,1390227364
2017,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 6 e meno di 12 mesi,492036,22862991,18225577,118558483,7036098585
2017,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Anno intero,664817,34570374,28887424,206558211,14372385650
2017,Sanita' e assistenza sociale,Fino a 3 mesi,64667,707260,443720,2631428,144474979
2017,Sanita' e assistenza sociale,Oltre 3 e fino a 6 mesi,61787,1715145,1107481,7492275,410011178
2017,Sanita' e assistenza sociale,Oltre 6 e meno di 12 mesi,196942,9279053,6953649,48134601,2777330040
2017,Sanita' e assistenza sociale,Anno intero,451775,23492287,20370253,140552712,9884281978
2017,Servizi di informazione e comunicazione,Fino a 3 mesi,68513,359032,307694,1272135,125480382
2017,Servizi di informazione e comunicazione,Oltre 3 e fino a 6 mesi,24080,626343,521171,2889329,270793453
2017,Servizi di informazione e comunicazione,Oltre 6 e meno di 12 mesi,94761,4542800,4087584,24378147,2559468486
2017,Servizi di informazione e comunicazione,Anno intero,327720,17041437,16159026,101992054,12414443234
2017,Trasporto e magazzinaggio,Fino a 3 mesi,87226,873252,704913,3414871,242361963
2017,Trasporto e magazzinaggio,Oltre 3 e fino a 6 mesi,83308,2240472,1903702,10068288,812284296
2017,Trasporto e magazzinaggio,Oltre 6 e meno di 12 mesi,289428,13770142,12496415,71366939,5788503970
2017,Trasporto e magazzinaggio,Anno intero,623678,32431229,31130673,193908243,19405965145
2018,Altre attivita' di servizi,Fino a 3 mesi,64645,708806,463079,2428143,114553370
2018,Altre attivita' di servizi,Oltre 3 e fino a 6 mesi,50205,1440348,938765,5969169,285663451
2018,Altre attivita' di servizi,Oltre 6 e meno di 12 mesi,126554,5928908,4379530,30419126,1604213244
2018,Altre attivita' di servizi,Anno intero,242962,12633992,10900753,75537788,5651517820
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Fino a 3 mesi,86361,760846,521138,2781034,150645530
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 3 e fino a 6 mesi,42024,1044346,781822,4803419,329852838
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 6 e meno di 12 mesi,45160,2012590,1579796,10473506,807723000
2018,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Anno intero,65435,3402616,3017589,20338317,1944165979
2018,Attivita' dei servizi di alloggio e di ristorazione,Fino a 3 mesi,445393,5022468,3447757,15699157,702316510
2018,Attivita' dei servizi di alloggio e di ristorazione,Oltre 3 e fino a 6 mesi,326780,8994443,6405250,38053912,1904063899
2018,Attivita' dei servizi di alloggio e di ristorazione,Oltre 6 e meno di 12 mesi,516937,22976546,16489368,117802006,6222535547
2018,Attivita' dei servizi di alloggio e di ristorazione,Anno intero,420712,21876958,17203998,130591944,7806439459
2018,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Fino a 3 mesi,5922,46911,31849,184866,9986116
2018,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 3 e fino a 6 mesi,2284,66781,39985,269846,13658804
2018,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 6 e meno di 12 mesi,4529,211602,160382,1120825,59274166
2018,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Anno intero,29516,1534832,1342662,9188970,532194793
2018,Attivita' finanziarie e assicurative,Fino a 3 mesi,8944,90504,76012,408605,53067775
2018,Attivita' finanziarie e assicurative,Oltre 3 e fino a 6 mesi,10752,277352,238667,1345493,172639611
2018,Attivita' finanziarie e assicurative,Oltre 6 e meno di 12 mesi,48520,2286190,2052584,12374701,1519329432
2018,Attivita' finanziarie e assicurative,Anno intero,445598,23171095,22361002,138586814,23051976065
2018,Attivita' immobiliari,Fino a 3 mesi,5095,55057,34812,207829,12955373
2018,Attivita' immobiliari,Oltre 3 e fino a 6 mesi,4385,112658,75342,527706,30770049
2018,Attivita' immobiliari,Oltre 6 e meno di 12 mesi,10139,450877,330096,2399640,155810307
2018,Attivita' immobiliari,Anno intero,30742,1598584,1327009,9570757,920412478
2018,Attivita' manifatturiere,Fino a 3 mesi,212456,2203549,1771127,8664690,634991536
2018,Attivita' manifatturiere,Oltre 3 e fino a 6 mesi,188420,5023673,4106336,22605128,1621794674
2018,Attivita' manifatturiere,Oltre 6 e meno di 12 mesi,759579,36309551,32808029,190314383,15144401309
2018,Attivita' manifatturiere,Anno intero,2676197,139162186,134384790,832129942,91379384104
2018,"Attivita' professionali, scientifiche e tecniche",Fino a 3 mesi,53036,522371,398424,1721121,114180890
2018,"Attivita' professionali, scientifiche e tecniche",Oltre 3 e fino a 6 mesi,33107,886407,677800,3929753,266708736
2018,"Attivita' professionali, scientifiche e tecniche",Oltre 6 e meno di 12 mesi,81306,3726686,2962338,19696860,1402316105
2018,"Attivita' professionali, scientifiche e tecniche",Anno intero,325473,16924581,15025802,101319673,9754248486
2018,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Fino a 3 mesi,219983,2258748,1504323,8623854,508484431
2018,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 3 e fino a 6 mesi,176941,4715344,3258761,21139965,1243014400
2018,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 6 e meno di 12 mesi,493547,22915786,17424456,119832473,7780582894
2018,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Anno intero,1476500,76777881,67806053,459396951,40451470180
2018,Costruzioni,Fino a 3 mesi,159956,1478829,1343834,5947044,447677786
2018,Costruzioni,Oltre 3 e fino a 6 mesi,109451,2899873,2673882,12908383,969704433
2018,Costruzioni,Oltre 6 e meno di 12 mesi,318938,15241923,14534755,77460720,6225430639
2018,Costruzioni,Anno intero,349393,18168420,17328265,108365310,9622877907
2018,Estrazione di minerali da cave e miniere,Fino a 3 mesi,1485,15924,14690,61182,6291705
2018,Estrazione di minerali da cave e miniere,Oltre 3 e fino a 6 mesi,1363,37241,33850,166033,18074550
2018,Estrazione di minerali da cave e miniere,Oltre 6 e meno di 12 mesi,7436,360727,348312,1888977,213320114
2018,Estrazione di minerali da cave e miniere,Anno intero,30764,1599728,1579019,9566299,1632028367
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Fino a 3 mesi,7863,76578,60432,333319,23391216
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 3 e fino a 6 mesi,7625,192140,160461,932885,65529903
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 6 e meno di 12 mesi,28087,1314488,1200688,7041494,590100671
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Anno intero,127488,6629376,6436976,39659969,4161981396
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Fino a 3 mesi,1439,14106,12980,67875,8309453
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 3 e fino a 6 mesi,1565,37504,34298,195678,24195066
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 6 e meno di 12 mesi,8185,387646,374856,2137803,280931166
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Anno intero,69928,3636256,3595229,21763655,3490404186
2018,Istruzione,Fino a 3 mesi,77638,817247,645085,3449402,219416398
2018,Istruzione,Oltre 3 e fino a 6 mesi,82326,2097830,1788560,10566948,660713698
2018,Istruzione,Oltre 6 e meno di 12 mesi,223589,9433691,8517587,52301422,3580374433
2018,Istruzione,Anno intero,129549,6736544,5937539,40291286,2991306319
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Fino a 3 mesi,350692,3141003,2098558,11513238,613986816
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 3 e fino a 6 mesi,217873,5743979,4219833,25683810,1438548326
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 6 e meno di 12 mesi,515197,23815713,19004305,123990410,7342275318
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Anno intero,694620,36120165,30437321,215735404,15272879504
2018,Sanita' e assistenza sociale,Fino a 3 mesi,68164,731781,461217,2766907,154536826
2018,Sanita' e assistenza sociale,Oltre 3 e fino a 6 mesi,63457,1732860,1129996,7676056,423045962
2018,Sanita' e assistenza sociale,Oltre 6 e meno di 12 mesi,211088,9944955,7481309,51747269,3051127389
2018,Sanita' e assistenza sociale,Anno intero,462369,24043140,20845981,143830514,10080369501
2018,Servizi di informazione e comunicazione,Fino a 3 mesi,77205,394126,339970,1384679,136553429
2018,Servizi di informazione e comunicazione,Oltre 3 e fino a 6 mesi,25053,642007,537142,2991824,283094128
2018,Servizi di informazione e comunicazione,Oltre 6 e meno di 12 mesi,100988,4813866,4328783,26102928,2797424928
2018,Servizi di informazione e comunicazione,Anno intero,334997,17419842,16545986,104240238,12862066477
2018,Trasporto e magazzinaggio,Fino a 3 mesi,88165,872160,711312,3400081,245617861
2018,Trasporto e magazzinaggio,Oltre 3 e fino a 6 mesi,85553,2281643,1938807,10313185,844937318
2018,Trasporto e magazzinaggio,Oltre 6 e meno di 12 mesi,303134,14393776,13049882,74900446,6166877198
2018,Trasporto e magazzinaggio,Anno intero,635328,33037019,31739429,197491956,20088715331
2019,Altre attivita' di servizi,Fino a 3 mesi,64828,712282,461955,2449905,114762714
2019,Altre attivita' di servizi,Oltre 3 e fino a 6 mesi,49883,1430222,928262,5919768,285980370
2019,Altre attivita' di servizi,Oltre 6 e meno di 12 mesi,128638,6020658,4417946,30882976,1625538018
2019,Altre attivita' di servizi,Anno intero,248682,12931434,11142377,77313626,5796915321
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Fino a 3 mesi,88538,785831,535788,2875634,156694704
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 3 e fino a 6 mesi,42844,1066128,798770,4893216,345414637
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 6 e meno di 12 mesi,44618,1990436,1571532,10343670,774189642
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Anno intero,67840,3527676,3132741,21081634,2043543613
2019,Attivita' dei servizi di alloggio e di ristorazione,Fino a 3 mesi,464048,5219212,3612673,16537904,746492596
2019,Attivita' dei servizi di alloggio e di ristorazione,Oltre 3 e fino a 6 mesi,338532,9353162,6689205,39558047,1997863104
2019,Attivita' dei servizi di alloggio e di ristorazione,Oltre 6 e meno di 12 mesi,542501,24074238,17278294,123488378,6595091911
2019,Attivita' dei servizi di alloggio e di ristorazione,Anno intero,438730,22813898,17913298,136168649,8207533582
2019,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Fino a 3 mesi,5692,44958,30784,180019,9995494
2019,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 3 e fino a 6 mesi,2161,63040,38462,258202,13494186
2019,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 6 e meno di 12 mesi,4403,204884,156667,1091801,58724061
2019,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Anno intero,28987,1507322,1318428,9023654,526453774
2019,Attivita' finanziarie e assicurative,Fino a 3 mesi,7766,80681,65813,361242,43678613
2019,Attivita' finanziarie e assicurative,Oltre 3 e fino a 6 mesi,10510,273961,234756,1331359,167178223
2019,Attivita' finanziarie e assicurative,Oltre 6 e meno di 12 mesi,50262,2353457,2120067,12783051,1628111829
2019,Attivita' finanziarie e assicurative,Anno intero,442013,22984674,22181928,137456673,23135749032
2019,Attivita' immobiliari,Fino a 3 mesi,5181,56674,35858,219665,13945673
2019,Attivita' immobiliari,Oltre 3 e fino a 6 mesi,4447,115013,76335,535941,33638303
2019,Attivita' immobiliari,Oltre 6 e meno di 12 mesi,10290,459730,335399,2450855,164568121
2019,Attivita' immobiliari,Anno intero,32186,1673672,1391869,10021457,981818691
2019,Attivita' manifatturiere,Fino a 3 mesi,209475,2152925,1730716,8612493,645028196
2019,Attivita' manifatturiere,Oltre 3 e fino a 6 mesi,189472,5079745,4175741,22852173,1704637671
2019,Attivita' manifatturiere,Oltre 6 e meno di 12 mesi,774221,37037005,33496162,193798937,15709226581
2019,Attivita' manifatturiere,Anno intero,2694124,140094420,135293060,837541076,93360104956
2019,"Attivita' professionali, scientifiche e tecniche",Fino a 3 mesi,53110,521326,396558,1743369,116901097
2019,"Attivita' professionali, scientifiche e tecniche",Oltre 3 e fino a 6 mesi,33457,898088,690380,3983711,279355450
2019,"Attivita' professionali, scientifiche e tecniche",Oltre 6 e meno di 12 mesi,83235,3820428,3065663,20173640,1471955486
2019,"Attivita' professionali, scientifiche e tecniche",Anno intero,333847,17360017,15473525,103920676,10238319829
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Fino a 3 mesi,222830,2281701,1523107,8884427,526251082
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 3 e fino a 6 mesi,180256,4786222,3299902,21601314,1287787124
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 6 e meno di 12 mesi,492260,22817706,17292299,119535893,7859875509
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Anno intero,1499718,77985243,68849280,466612320,41630117441
2019,Costruzioni,Fino a 3 mesi,152462,1414789,1284912,5760178,434151922
2019,Costruzioni,Oltre 3 e fino a 6 mesi,106844,2824326,2600295,12634699,951541618
2019,Costruzioni,Oltre 6 e meno di 12 mesi,325664,15577404,14846269,79371515,6432195574
2019,Costruzioni,Anno intero,370712,19277010,18408972,114993006,10294232023
2019,Estrazione di minerali da cave e miniere,Fino a 3 mesi,1440,14603,13300,59753,6343693
2019,Estrazione di minerali da cave e miniere,Oltre 3 e fino a 6 mesi,1388,37027,33773,170456,20591699
2019,Estrazione di minerali da cave e miniere,Oltre 6 e meno di 12 mesi,7225,348883,337495,1843502,216521348
2019,Estrazione di minerali da cave e miniere,Anno intero,31454,1635608,1615831,9782885,1700418934
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Fino a 3 mesi,7843,76884,62651,341266,25507859
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 3 e fino a 6 mesi,8187,202697,172531,1000811,75562299
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 6 e meno di 12 mesi,30202,1409429,1293470,7572671,646240639
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Anno intero,131399,6832748,6635508,40872532,4308560546
2019,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Fino a 3 mesi,1355,13330,12001,64570,8036309
2019,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 3 e fino a 6 mesi,1603,38902,35924,201257,25271664
2019,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 6 e meno di 12 mesi,8603,402432,387355,2217509,304599016
2019,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Anno intero,69543,3616236,3577796,21649214,3512263792
2019,Istruzione,Fino a 3 mesi,87810,943966,769201,4136665,238346848
2019,Istruzione,Oltre 3 e fino a 6 mesi,90240,2317704,2005149,11974253,707016263
2019,Istruzione,Oltre 6 e meno di 12 mesi,241714,10251390,9328387,57413971,3812145004
2019,Istruzione,Anno intero,135703,7056548,6237179,42190068,3147575167
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Fino a 3 mesi,341397,3015061,2025579,11375371,616498757
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 3 e fino a 6 mesi,216124,5630926,4139076,25552127,1442939290
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 6 e meno di 12 mesi,494690,22743064,18058653,118853962,7052117250
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Anno intero,711697,37008196,31369200,221059204,15926255736
2019,Sanita' e assistenza sociale,Fino a 3 mesi,69695,736565,463342,2827818,157595144
2019,Sanita' e assistenza sociale,Oltre 3 e fino a 6 mesi,65977,1796540,1168144,7997943,435758718
2019,Sanita' e assistenza sociale,Oltre 6 e meno di 12 mesi,213177,10020114,7512594,52173488,3062601858
2019,Sanita' e assistenza sociale,Anno intero,475313,24716245,21450815,147851573,10476485697
2019,Servizi di informazione e comunicazione,Fino a 3 mesi,85749,451936,397657,1633129,160212098
2019,Servizi di informazione e comunicazione,Oltre 3 e fino a 6 mesi,28989,740838,638533,3487523,337890768
2019,Servizi di informazione e comunicazione,Oltre 6 e meno di 12 mesi,101608,4835487,4349306,26158993,2756533699
2019,Servizi di informazione e comunicazione,Anno intero,348743,18134634,17253395,108491206,13585205547
2019,Trasporto e magazzinaggio,Fino a 3 mesi,95096,937508,765092,3790667,279202951
2019,Trasporto e magazzinaggio,Oltre 3 e fino a 6 mesi,91742,2422655,2066725,11188106,920685257
2019,Trasporto e magazzinaggio,Oltre 6 e meno di 12 mesi,312754,14783474,13384682,77174634,6393755310
2019,Trasporto e magazzinaggio,Anno intero,643326,33452940,32150820,199955725,20291431185
2020,Altre attivita' di servizi,Fino a 3 mesi,72718,885650,541164,2947382,138316718
2020,Altre attivita' di servizi,Oltre 3 e fino a 6 mesi,59790,1836983,1123763,7083627,332057602
2020,Altre attivita' di servizi,Oltre 6 e meno di 12 mesi,219970,10569400,7983446,52130682,2883225887
2020,Altre attivita' di servizi,Anno intero,116827,6074995,5493564,36277669,3445912255
2020,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Fino a 3 mesi,82725,745477,498945,2865975,167432090
2020,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 3 e fino a 6 mesi,46036,1146018,839215,5226029,352126627
2020,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Oltre 6 e meno di 12 mesi,59447,2605760,2172007,13077131,1163947186
2020,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Anno intero,22754,1183205,1107824,7068312,925161517
2020,Attivita' dei servizi di alloggio e di ristorazione,Fino a 3 mesi,560429,6485594,4351537,22316944,1077581055
2020,Attivita' dei servizi di alloggio e di ristorazione,Oltre 3 e fino a 6 mesi,434615,12013772,8034148,50401128,2627135385
2020,Attivita' dei servizi di alloggio e di ristorazione,Oltre 6 e meno di 12 mesi,506134,22647619,15636556,108231862,5909342806
2020,Attivita' dei servizi di alloggio e di ristorazione,Anno intero,46754,2431203,1944684,14467951,1020328566
2020,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Fino a 3 mesi,5532,44788,30503,176931,10029871
2020,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 3 e fino a 6 mesi,2050,58728,36744,239787,12789560
2020,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 6 e meno di 12 mesi,5378,254999,195197,1352938,74786552
2020,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Anno intero,27119,1410188,1236076,8441783,502595631
2020,Attivita' finanziarie e assicurative,Fino a 3 mesi,10873,115367,97572,527992,69515211
2020,Attivita' finanziarie e assicurative,Oltre 3 e fino a 6 mesi,12744,326640,277210,1565516,196970671
2020,Attivita' finanziarie e assicurative,Oltre 6 e meno di 12 mesi,68565,3298328,2887195,17706991,2033411815
2020,Attivita' finanziarie e assicurative,Anno intero,413643,21509434,20885043,128654605,22614443979
2020,Attivita' immobiliari,Fino a 3 mesi,6292,68639,43133,280960,17655248
2020,Attivita' immobiliari,Oltre 3 e fino a 6 mesi,6451,166108,111736,755534,45694508
2020,Attivita' immobiliari,Oltre 6 e meno di 12 mesi,22693,1053375,771061,5520915,373304537
2020,Attivita' immobiliari,Anno intero,16434,854568,759302,5109588,654701857
2020,Attivita' manifatturiere,Fino a 3 mesi,240134,2699872,2112418,10242688,752087828
2020,Attivita' manifatturiere,Oltre 3 e fino a 6 mesi,244006,7218682,5832715,29191391,2078205961
2020,Attivita' manifatturiere,Oltre 6 e meno di 12 mesi,1922734,95535935,89395774,494540001,43482962846
2020,Attivita' manifatturiere,Anno intero,1392271,72398078,70558741,431410472,56339698174
2020,"Attivita' professionali, scientifiche e tecniche",Fino a 3 mesi,49571,528209,389358,1937843,129085214
2020,"Attivita' professionali, scientifiche e tecniche",Oltre 3 e fino a 6 mesi,40955,1124680,831591,4821676,326553032
2020,"Attivita' professionali, scientifiche e tecniche",Oltre 6 e meno di 12 mesi,178583,8537662,6938030,44607438,3361893111
2020,"Attivita' professionali, scientifiche e tecniche",Anno intero,223191,11605915,10654992,69307627,7739346364
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Fino a 3 mesi,245029,2649761,1721755,10277138,605122243
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 3 e fino a 6 mesi,212040,5861318,3918432,25165975,1464262616
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 6 e meno di 12 mesi,1069819,51464722,41696566,264856121,19502262315
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Anno intero,815886,42426040,37858483,253231264,24640188593
2020,Costruzioni,Fino a 3 mesi,162487,1589545,1424095,6285876,465641576
2020,Costruzioni,Oltre 3 e fino a 6 mesi,127622,3598174,3285280,15141376,1132634450
2020,Costruzioni,Oltre 6 e meno di 12 mesi,542713,26322098,25028916,132685817,10935299210
2020,Costruzioni,Anno intero,141119,7338180,7054468,43690109,4530367027
2020,Estrazione di minerali da cave e miniere,Fino a 3 mesi,1394,14950,13276,59742,6540691
2020,Estrazione di minerali da cave e miniere,Oltre 3 e fino a 6 mesi,1542,44677,41089,190471,22738177
