anno,attivita_economica_ateco_2007,tipologia_contrattuale,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2015,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Stagionale,506,11262,9779,57254,4109718
2015,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo determinato,13711,425883,372837,2299964,167884129
2015,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo indeterminato,146061,7233492,6992156,42483736,4330927913
2015,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Stagionale,5,126,66,670,26485
2015,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Tempo determinato,999,36643,34041,205610,21947646
2015,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Tempo indeterminato,79935,4049522,4002376,24064927,3733449529
2015,Istruzione,Stagionale,1577,31396,20978,150338,7791238
2015,Istruzione,Tempo determinato,314346,10100261,9467825,55505865,3729302385
2015,Istruzione,Tempo indeterminato,157629,7106546,5807695,40193151,2574412509
2015,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Stagionale,25051,504100,398453,2421010,144232240
2015,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Tempo determinato,545899,14423905,11833332,72492609,4566362431
2015,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Tempo indeterminato,915199,41949234,33199388,237351641,15265803731
2015,Sanita' e assistenza sociale,Stagionale,608,12634,7763,63513,2745651
2015,Sanita' e assistenza sociale,Tempo determinato,105110,3359860,2557322,17916196,1090466929
2015,Sanita' e assistenza sociale,Tempo indeterminato,599331,28180780,23470166,160320738,10771640602
2015,Servizi di informazione e comunicazione,Stagionale,7260,59671,56435,246035,31539271
2015,Servizi di informazione e comunicazione,Tempo determinato,73807,1117872,1003765,5435659,545538659
2015,Servizi di informazione e comunicazione,Tempo indeterminato,431207,20454001,18988760,119544883,14008128094
2015,Trasporto e magazzinaggio,Stagionale,8782,238578,202425,1222777,97506219
2015,Trasporto e magazzinaggio,Tempo determinato,134892,4088426,3605830,20798958,1723086435
2015,Trasporto e magazzinaggio,Tempo indeterminato,861379,41310017,39029985,236276794,22464886325
2016,Altre attivita' di servizi,Stagionale,8591,191888,155712,943548,56504661
2016,Altre attivita' di servizi,Tempo determinato,72236,2061368,1536457,10536128,575995323
2016,Altre attivita' di servizi,Tempo indeterminato,387546,17912693,14745804,100318122,6890727177
2016,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Stagionale,37489,660449,521917,3046285,202817377
2016,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Tempo determinato,68789,1394867,1114200,6894223,725515551
2016,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Tempo indeterminato,102234,4418137,3707656,25041297,2051395295
2016,Attivita' dei servizi di alloggio e di ristorazione,Stagionale,234938,5742514,4986571,28061711,1934900766
2016,Attivita' dei servizi di alloggio e di ristorazione,Tempo determinato,365414,9005873,6382977,42260582,2110565995
2016,Attivita' dei servizi di alloggio e di ristorazione,Tempo indeterminato,818383,35002415,25573903,191559959,10535139103
2016,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Stagionale,504,12071,10690,62424,4120135
2016,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Tempo determinato,6502,87319,68447,441323,23197424
2016,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Tempo indeterminato,36289,1814266,1546621,10569892,606130477
2016,Attivita' finanziarie e assicurative,Stagionale,93,2110,1706,10262,779960
2016,Attivita' finanziarie e assicurative,Tempo determinato,13848,509388,466761,2870191,331346185
2016,Attivita' finanziarie e assicurative,Tempo indeterminato,514874,26139424,25006831,154762336,24626632767
2016,Attivita' immobiliari,Stagionale,1518,41504,35224,202501,14198084
2016,Attivita' immobiliari,Tempo determinato,4494,132182,99050,701717,46371812
2016,Attivita' immobiliari,Tempo indeterminato,39853,1865824,1499912,10813644,958959525
2016,Attivita' manifatturiere,Stagionale,33331,710645,654860,3399878,255987678
2016,Attivita' manifatturiere,Tempo determinato,299742,9534301,8647675,50482377,3792085323
2016,Attivita' manifatturiere,Tempo indeterminato,3382670,166599498,158453448,962202807,99203925549
2016,"Attivita' professionali, scientifiche e tecniche",Stagionale,2383,49603,38796,251428,15631263
2016,"Attivita' professionali, scientifiche e tecniche",Tempo determinato,61845,1663086,1412714,8541970,642147020
2016,"Attivita' professionali, scientifiche e tecniche",Tempo indeterminato,407214,19461631,16748185,112774220,9972593409
2016,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Stagionale,15623,385512,326828,1895073,123287459
2016,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Tempo determinato,297543,8822280,6738945,46475710,2797434245
2016,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Tempo indeterminato,1928398,92421564,79127834,533470716,43870975291
2016,Costruzioni,Stagionale,584,11717,10895,55779,3794219
2016,Costruzioni,Tempo determinato,182564,4426932,4181862,21761396,1680241440
2016,Costruzioni,Tempo indeterminato,751628,32890873,31334108,178987997,15109774427
