"voce","cofog99","Germania","Spagna","Media UE","Francia","Italia"
"Spesa totale","TOTAL",25620.2620717538,14834.0847758796,19673.7286277966,24307.8249211294,18812.8207329275
"Sanità","GF07",3942.37825290598,2106.27344651745,2956.9453214932,3797.20370864514,2477.6386223756
"Istruzione","GF09",2329.88431412666,1347.58778471889,1909.58167144619,2161.21472226222,1512.61724853393
"Protezione sociale","GF10",10574.8925845191,6087.73630869062,7864.8173617568,10076.6151517612,7940.23177467602
"Pensioni vecchiaia","GF1002",5115.48645189585,3377.05146925166,4284.60857763321,5699.00217448099,5196.28198331244
"Interessi debito","GF0107",590.062384369535,811.147097528101,772.743180510709,855.970703248135,1489.02561711266
