"voce","cofog99","2007","2010","2014","2019","2024","var 07->24"
"Spesa totale","TOTAL",46.6,49.8,50.7,48.4,50.4,3.8
"Sanità","GF07",6.6,7.4,7,6.7,6.6,0
"Istruzione","GF09",4.5,4.4,4.1,4,4,-0.5
"Protezione sociale","GF10",17.3,19.7,21,21,21.3,4
"Pensioni vecchiaia","GF1002",11.8,13.2,13.7,13.6,13.9,2.1
"Interessi debito","GF0107",4.8,4.5,4.7,3.5,4,-0.8
"Famiglia e infanzia","GF1004",0.9,0.9,1,0.9,1.5,0.6
