"voce","cofog99","Germania","Spagna","Media UE","Francia","Italia"
"Spesa totale","TOTAL",22941.6007662826,16533.7547658043,19673.7286277966,22321.2350056285,19666.2370915137
"Sanità","GF07",3530.19292677566,2347.607497233,2956.9453214932,3486.87209241978,2590.03310914703
"Istruzione","GF09",2086.28918847976,1501.99262674865,1909.58167144619,1984.58652182022,1581.23493869876
"Protezione sociale","GF10",9469.26160009232,6785.26115547327,7864.8173617568,9253.09013017556,8300.42888619234
"Pensioni vecchiaia","GF1002",4580.64978320844,3763.98960014675,4284.60857763321,5233.24350273736,5432.00378767876
"Interessi debito","GF0107",528.369913293398,904.087268756242,772.743180510709,786.015338152558,1556.57310709505
