id,nome,fascia,pop,media_min,mediana_min,pop_totale
ITH3,Veneto,55-60 min,115,10.53,10.06,4939446
ITH3,Veneto,60+ min,52,10.53,10.06,4939446
ITH4,Friuli-Venezia Giulia,0-5 min,240971,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,5-10 min,361241,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,10-15 min,299662,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,15-20 min,182200,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,20-25 min,80776,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,25-30 min,17484,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,30-35 min,7923,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,35-40 min,4314,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,40-45 min,2912,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,45-50 min,1631,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,50-55 min,400,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,55-60 min,22,11.1,9.97,1199552
ITH4,Friuli-Venezia Giulia,60+ min,16,11.1,9.97,1199552
ITH5,Emilia-Romagna,0-5 min,1073486,9.97,8.46,4490663
ITH5,Emilia-Romagna,5-10 min,1565481,9.97,8.46,4490663
ITH5,Emilia-Romagna,10-15 min,1000498,9.97,8.46,4490663
ITH5,Emilia-Romagna,15-20 min,571445,9.97,8.46,4490663
ITH5,Emilia-Romagna,20-25 min,173167,9.97,8.46,4490663
ITH5,Emilia-Romagna,25-30 min,58438,9.97,8.46,4490663
ITH5,Emilia-Romagna,30-35 min,20744,9.97,8.46,4490663
ITH5,Emilia-Romagna,35-40 min,12547,9.97,8.46,4490663
ITH5,Emilia-Romagna,40-45 min,7207,9.97,8.46,4490663
ITH5,Emilia-Romagna,45-50 min,3963,9.97,8.46,4490663
ITH5,Emilia-Romagna,50-55 min,2373,9.97,8.46,4490663
ITH5,Emilia-Romagna,55-60 min,733,9.97,8.46,4490663
ITH5,Emilia-Romagna,60+ min,582,9.97,8.46,4490663
ITI4,Lazio,0-5 min,1567469,9.71,7.5,5703982
ITI4,Lazio,5-10 min,2113754,9.71,7.5,5703982
ITI4,Lazio,10-15 min,970195,9.71,7.5,5703982
ITI4,Lazio,15-20 min,570537,9.71,7.5,5703982
ITI4,Lazio,20-25 min,277048,9.71,7.5,5703982
ITI4,Lazio,25-30 min,125707,9.71,7.5,5703982
ITI4,Lazio,30-35 min,46336,9.71,7.5,5703982
ITI4,Lazio,35-40 min,20216,9.71,7.5,5703982
ITI4,Lazio,40-45 min,8690,9.71,7.5,5703982
ITI4,Lazio,45-50 min,1696,9.71,7.5,5703982
ITI4,Lazio,50-55 min,554,9.71,7.5,5703982
ITI4,Lazio,55-60 min,123,9.71,7.5,5703982
ITI4,Lazio,60+ min,1658,9.71,7.5,5703982
ITG2,Sardegna,0-5 min,309238,14.46,11.94,1507775
ITG2,Sardegna,5-10 min,349953,14.46,11.94,1507775
ITG2,Sardegna,10-15 min,220731,14.46,11.94,1507775
ITG2,Sardegna,15-20 min,223368,14.46,11.94,1507775
ITG2,Sardegna,20-25 min,160439,14.46,11.94,1507775
ITG2,Sardegna,25-30 min,96054,14.46,11.94,1507775
ITG2,Sardegna,30-35 min,87036,14.46,11.94,1507775
ITG2,Sardegna,35-40 min,31462,14.46,11.94,1507775
ITG2,Sardegna,40-45 min,13593,14.46,11.94,1507775
ITG2,Sardegna,45-50 min,9539,14.46,11.94,1507775
ITG2,Sardegna,50-55 min,4847,14.46,11.94,1507775
ITG2,Sardegna,55-60 min,1067,14.46,11.94,1507775
ITG2,Sardegna,60+ min,450,14.46,11.94,1507775
ITH1,Provincia Autonoma di Bolzano/Bozen,0-5 min,90801,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,5-10 min,142513,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,10-15 min,84251,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,15-20 min,59277,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,20-25 min,55333,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,25-30 min,32840,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,30-35 min,20607,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,35-40 min,13111,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,40-45 min,7164,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,45-50 min,3688,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,50-55 min,966,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,55-60 min,187,14.21,11.2,510806
ITH1,Provincia Autonoma di Bolzano/Bozen,60+ min,67,14.21,11.2,510806
ITH2,Provincia Autonoma di Trento,0-5 min,70154,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,5-10 min,146468,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,10-15 min,110480,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,15-20 min,76544,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,20-25 min,64725,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,25-30 min,33045,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,30-35 min,19140,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,35-40 min,10536,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,40-45 min,4395,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,45-50 min,2443,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,50-55 min,1531,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,55-60 min,360,14.35,12.08,539855
ITH2,Provincia Autonoma di Trento,60+ min,34,14.35,12.08,539855
ITC3,Liguria,0-5 min,204160,11.77,9.54,1357780
ITC3,Liguria,5-10 min,509588,11.77,9.54,1357780
ITC3,Liguria,10-15 min,328325,11.77,9.54,1357780
ITC3,Liguria,15-20 min,141051,11.77,9.54,1357780
ITC3,Liguria,20-25 min,90006,11.77,9.54,1357780
ITC3,Liguria,25-30 min,34539,11.77,9.54,1357780
ITC3,Liguria,30-35 min,21957,11.77,9.54,1357780
ITC3,Liguria,35-40 min,12845,11.77,9.54,1357780
ITC3,Liguria,40-45 min,7171,11.77,9.54,1357780
ITC3,Liguria,45-50 min,2972,11.77,9.54,1357780
ITC3,Liguria,50-55 min,1782,11.77,9.54,1357780
ITC3,Liguria,55-60 min,1104,11.77,9.54,1357780
ITC3,Liguria,60+ min,2280,11.77,9.54,1357780
ITC4,Lombardia,0-5 min,2178116,8.72,7.78,10138852
ITC4,Lombardia,5-10 min,4681801,8.72,7.78,10138852
ITC4,Lombardia,10-15 min,2417281,8.72,7.78,10138852
ITC4,Lombardia,15-20 min,604559,8.72,7.78,10138852
ITC4,Lombardia,20-25 min,162171,8.72,7.78,10138852
ITC4,Lombardia,25-30 min,43994,8.72,7.78,10138852
ITC4,Lombardia,30-35 min,26495,8.72,7.78,10138852
ITC4,Lombardia,35-40 min,11817,8.72,7.78,10138852
ITC4,Lombardia,40-45 min,7509,8.72,7.78,10138852
ITC4,Lombardia,45-50 min,2995,8.72,7.78,10138852
ITC4,Lombardia,50-55 min,1747,8.72,7.78,10138852
ITC4,Lombardia,55-60 min,336,8.72,7.78,10138852
ITC4,Lombardia,60+ min,32,8.72,7.78,10138852
ITI1,Toscana,0-5 min,513844,11.67,10.02,3557651
ITI1,Toscana,5-10 min,1263080,11.67,10.02,3557651
ITI1,Toscana,10-15 min,861552,11.67,10.02,3557651
ITI1,Toscana,15-20 min,484799,11.67,10.02,3557651
ITI1,Toscana,20-25 min,253522,11.67,10.02,3557651
ITI1,Toscana,25-30 min,97791,11.67,10.02,3557651
ITI1,Toscana,30-35 min,49297,11.67,10.02,3557651
ITI1,Toscana,35-40 min,22288,11.67,10.02,3557651
ITI1,Toscana,40-45 min,7280,11.67,10.02,3557651
ITI1,Toscana,45-50 min,2105,11.67,10.02,3557651
ITI1,Toscana,50-55 min,741,11.67,10.02,3557651
ITI1,Toscana,55-60 min,143,11.67,10.02,3557651
ITI1,Toscana,60+ min,1209,11.67,10.02,3557651
ITI2,Umbria,0-5 min,149096,11.42,10.41,898378
ITI2,Umbria,5-10 min,275209,11.42,10.41,898378
ITI2,Umbria,10-15 min,246094,11.42,10.41,898378
ITI2,Umbria,15-20 min,129912,11.42,10.41,898378
ITI2,Umbria,20-25 min,64491,11.42,10.41,898378
ITI2,Umbria,25-30 min,24985,11.42,10.41,898378
ITI2,Umbria,30-35 min,6395,11.42,10.41,898378
ITI2,Umbria,35-40 min,1520,11.42,10.41,898378
ITI2,Umbria,40-45 min,560,11.42,10.41,898378
ITI2,Umbria,45-50 min,84,11.42,10.41,898378
ITI2,Umbria,50-55 min,20,11.42,10.41,898378
ITI2,Umbria,55-60 min,10,11.42,10.41,898378
ITI2,Umbria,60+ min,3,11.42,10.41,898378
ITI3,Marche,0-5 min,217182,12.5,11.72,1405416
ITI3,Marche,5-10 min,376799,12.5,11.72,1405416
ITI3,Marche,10-15 min,331919,12.5,11.72,1405416
