"year","temp_media"
1950,22.3390111716329
1951,20.1692052861951
1952,22.1041661476985
1953,19.6402120022751
1954,19.1242534490672
1955,19.6099881496903
1956,19.5914944363951
1957,19.9123368371501
1958,20.1517184179698
1959,19.893977081016
1960,19.7920764591259
1961,20.0538903711604
1962,20.3763922203405
1963,19.8973607748597
1964,20.214221319585
1965,19.6935982533743
1966,19.545402964373
1967,19.9044481754543
1968,18.8302092033756
1969,18.7723509794922
1970,19.9145162038103
1971,20.1068120318458
1972,18.726724946233
1973,20.0319089137657
1974,19.6048408970266
1975,19.0466112302114
1976,18.6899588634642
1977,18.7407817505882
1978,18.5786829620198
1979,19.6291526994847
1980,18.9046434893582
1981,19.4425448313382
1982,20.8935732711824
1983,20.4167441469263
1984,19.0007501257648
1985,20.3218482229005
1986,19.7879919176953
1987,20.3230999975279
1988,20.7413329871999
1989,19.6401904961567
1990,20.2780759516027
1991,20.6511555950801
1992,20.2415798648083
1993,20.8293275591954
1994,21.6108306442806
1995,19.94450006965
1996,19.945647128027
1997,20.2437376997461
1998,21.5932310289382
1999,20.8567846997571
2000,20.9056271942267
2001,21.0670079956515
2002,20.4768226528679
2003,23.6072320532998
2004,20.716045747702
2005,20.5850576365775
2006,20.8664366945813
2007,21.0772501145274
2008,21.0680532174836
2009,21.3538044485833
2010,20.7444897937856
2011,20.7579157028166
2012,22.5313123108706
2013,20.7903491759404
2014,20.0004020793344
2015,22.2513845954527
2016,21.0395954746691
2017,22.8622634596136
2018,21.545358581646
2019,22.6196854637753
2020,21.3675571198353
2021,22.2839143604641
2022,23.4074424075312
2023,22.1914754779709
2024,23.0555784917364
2025,22.7155179236803
