paese,data,indice_1991_100
Germania,2006-12-01,121.61
Germania,2007-01-01,122.04
Germania,2007-02-01,122.56
Germania,2007-03-01,123.24
Germania,2007-04-01,123.85
Germania,2007-05-01,124.47
Germania,2007-06-01,124.94
Germania,2007-07-01,125.63
Germania,2007-08-01,126.17
Germania,2007-09-01,126.79
Germania,2007-10-01,127.62
Germania,2007-11-01,128.01
Germania,2007-12-01,128.55
Germania,2008-01-01,129.13
Germania,2008-02-01,129.58
Germania,2008-03-01,129.83
Germania,2008-04-01,130.16
Germania,2008-05-01,130.06
Germania,2008-06-01,130
Germania,2008-07-01,129.42
Germania,2008-08-01,129.25
Germania,2008-09-01,128.69
Germania,2008-10-01,127.57
Germania,2008-11-01,126.04
Germania,2008-12-01,123.56
Germania,2009-01-01,120.07
Germania,2009-02-01,115.68
Germania,2009-03-01,111.73
Germania,2009-04-01,107.69
Germania,2009-05-01,105.28
Germania,2009-06-01,103.89
Germania,2009-07-01,103.63
Germania,2009-08-01,104.18
Germania,2009-09-01,105.43
Germania,2009-10-01,106.84
Germania,2009-11-01,107.62
Germania,2009-12-01,108.2
Germania,2010-01-01,109.24
Germania,2010-02-01,109.84
Germania,2010-03-01,110.17
Germania,2010-04-01,111.23
Germania,2010-05-01,112.8
Germania,2010-06-01,114.09
Germania,2010-07-01,115.12
Germania,2010-08-01,116.59
Germania,2010-09-01,117.88
Germania,2010-10-01,119.23
Germania,2010-11-01,119.83
Germania,2010-12-01,121.03
Germania,2011-01-01,122.08
Germania,2011-02-01,123.1
Germania,2011-03-01,123.95
Germania,2011-04-01,124.4
Germania,2011-05-01,125.19
Germania,2011-06-01,125.25
Germania,2011-07-01,126.12
Germania,2011-08-01,126.62
Germania,2011-09-01,126.7
Germania,2011-10-01,126.99
Germania,2011-11-01,126.93
Germania,2011-12-01,126.97
Germania,2012-01-01,126.43
Germania,2012-02-01,126.14
Germania,2012-03-01,126.35
Germania,2012-04-01,126
Germania,2012-05-01,126.14
Germania,2012-06-01,126.29
Germania,2012-07-01,126.52
Germania,2012-08-01,126.7
Germania,2012-09-01,126.46
Germania,2012-10-01,126.23
Germania,2012-11-01,125.5
Germania,2012-12-01,125.11
Germania,2013-01-01,124.36
Germania,2013-02-01,123.72
Germania,2013-03-01,123.72
Germania,2013-04-01,123.99
Germania,2013-05-01,124.24
Germania,2013-06-01,124.76
Germania,2013-07-01,125.13
Germania,2013-08-01,125.77
Germania,2013-09-01,125.98
Germania,2013-10-01,126.06
Germania,2013-11-01,126.66
Germania,2013-12-01,126.93
Germania,2014-01-01,127.39
Germania,2014-02-01,127.43
Germania,2014-03-01,127.59
Germania,2014-04-01,127.82
Germania,2014-05-01,127.59
Germania,2014-06-01,127.35
Germania,2014-07-01,127.59
Germania,2014-08-01,127.08
Germania,2014-09-01,127.01
Germania,2014-10-01,127.1
Germania,2014-11-01,127.26
