iso,paese,uomini,donne,media
ZWE,Zimbabwe,6.3,22.2,14.3
NGA,Nigeria,8.8,19.7,14.3
MLI,Mali,9.4,18.3,13.8
BTN,Bhutan,10.2,17.5,13.8
YEM,Yemen,10.6,16.9,13.8
TGO,Togo,6.4,20.5,13.5
CIV,Cote d'Ivoire,8.5,18.4,13.4
GNB,Guinea Bissau,8.1,17.8,13
AGO,Angola,7.1,18.8,13
GMB,Gambia,5.6,19.8,12.7
BEN,Benin,7.7,17.5,12.6
COG,Congo,6.5,18.7,12.6
PRK,North Korea,9.3,15.1,12.2
TWN,Taiwan,14.7,9.7,12.2
IDN,Indonesia,7.1,17.1,12.1
SEN,Senegal,4.9,19.2,12.1
DJI,Djibouti,6.5,17.4,11.9
ZMB,Zambia,5.8,17.7,11.8
TZA,Tanzania,6.6,16.8,11.7
KEN,Kenya,5.8,17.4,11.6
CHE,Switzerland,13.9,9.3,11.6
FRA,France,11.1,11.9,11.5
HTI,Haiti,5.7,17.2,11.5
LKA,Sri Lanka,7.3,15.4,11.3
GIN,Guinea,6.5,15.1,10.8
CAF,Central African Republic,6.9,14.6,10.8
MOZ,Mozambique,5.9,15,10.5
PHL,Philippines,7.7,12,9.8
UGA,Uganda,4.7,14.6,9.6
LAO,Lao PDR,6.8,12.1,9.5
CHN,China,10.1,8.6,9.4
SSD,South Sudan,5.5,12.6,9
MMR,Myanmar,6,10.8,8.4
SLE,Sierra Leone,3.1,13.7,8.4
IND,India,5.9,10.8,8.3
KOR,South Korea,10.4,6.1,8.2
MWI,Malawi,3.4,12.6,8
NPL,Nepal,5.3,10.7,8
BFA,Burkina Faso,4.6,11.1,7.9
TCD,Chad,8,7.5,7.7
NER,Niger,5,9.1,7.1
COD,DR Congo,4.3,9.5,6.9
JPN,Japan,8.2,3.8,6
BGD,Bangladesh,2.8,8.9,5.8
RWA,Rwanda,2.1,9.1,5.6
BDI,Burundi,6.4,4.5,5.4
KHM,Cambodia,3.7,6.4,5
MDG,Madagascar,4.9,4.5,4.7
ERI,Eritrea,2.8,6.1,4.4
TLS,Timor-Leste,1.8,5.7,3.7
ETH,Ethiopia,1.4,4.6,3
VNM,Viet Nam,2.3,2.5,2.4
