"coalizione","n_regioni_governate","n_mesi_totali","popolazione_media_amministrata","popolazione_totale_mesi","perc_mesi","perc_popolazione"
"CDX",16,2985,3717306.30217754,11096159312,46.7282404508453,53.9610681453112
"CSX",16,3403,2781989.17367029,9467109158,53.2717595491547,46.0389318546888
