"gruppo","nomeGruppo","deputato","nome","cognome","inizio","fine","legislatura"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr141","FORZA ITALIA (FI) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p15080","FABRIZIO","CICCHITTO","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr141","FORZA ITALIA (FI) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p15250","RAFFAELE","COSTA","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr140","MARGHERITA, DL-L'ULIVO (MARGH-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p16050","MARIO CLEMENTE","MASTELLA","20010604","20020627","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr144","MISTO (MISTO) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p16050","MARIO CLEMENTE","MASTELLA","20020627","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr143","UDC UNIONE DEI DEMOCRATICI CRISTIANI E DEI DEMOCRATICI DI CENTRO (CCD-CDU) (UDC (CCD-CDU)) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p16850","MARIO","TASSONE","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr141","FORZA ITALIA (FI) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p1790","FRANCESCO","COLUCCI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200107","GIORGIO","BORNACIN","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr142","DEMOCRATICI DI SINISTRA-L'ULIVO (DS-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200147","ANTONIO","CABRAS","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr140","MARGHERITA, DL-L'ULIVO (MARGH-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200156","GIUSEPPE","CAMO","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200194","CARLA","CASTELLANI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr142","DEMOCRATICI DI SINISTRA-L'ULIVO (DS-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200202","BRUNO","CAZZARO","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr140","MARGHERITA, DL-L'ULIVO (MARGH-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200271","STEFANO","CUSUMANO","20010604","20020627","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr144","MISTO (MISTO) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200271","STEFANO","CUSUMANO","20020627","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr140","MARGHERITA, DL-L'ULIVO (MARGH-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200414","NICOLA","FUSILLO","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr142","DEMOCRATICI DI SINISTRA-L'ULIVO (DS-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200419","SERGIO","GAMBINI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr141","FORZA ITALIA (FI) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200432","BASILIO","GERMANA'","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200541","ERNESTO","MAGGI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr140","MARGHERITA, DL-L'ULIVO (MARGH-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200690","ANDREA","PAPINI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr142","DEMOCRATICI DI SINISTRA-L'ULIVO (DS-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200769","ALDO","PREDA","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200786","LUIGI","RAMPONI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr144","MISTO (MISTO) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200813","CARLA","ROCCHI","20010604","20010718","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr140","MARGHERITA, DL-L'ULIVO (MARGH-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200813","CARLA","ROCCHI","20010718","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr142","DEMOCRATICI DI SINISTRA-L'ULIVO (DS-U) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200816","CARLO","ROGNONI","20010604","20051003","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr141","FORZA ITALIA (FI) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200818","ETTORE","ROMOLI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr145","LEGA NORD FEDERAZIONE PADANA (LNFP) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200825","SERGIO","ROSSI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200880","ANTONIO","SERENA","20010604","20031119","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr144","MISTO (MISTO) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200880","ANTONIO","SERENA","20031120","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200951","GIUSEPPE","VALENTINO","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr144","MISTO (MISTO) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p200966","SAVERIO","VERTONE GRIMALDI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr141","FORZA ITALIA (FI) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p20750","ALFREDO","BIONDI","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr144","MISTO (MISTO) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p20770","MARCO","BOATO","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p21200","PUBLIO","FIORI","20010604","20050729","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr144","MISTO (MISTO) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p21200","PUBLIO","FIORI","20050729","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr144","MISTO (MISTO) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p21330","ALFONSO","GIANNI","20010604","20010613","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr153","RIFONDAZIONE COMUNISTA (RC) (14.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p21330","ALFONSO","GIANNI","20010614","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p21560","UGO","MARTINAT","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr141","FORZA ITALIA (FI) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p21720","RENZO","PATRIA","20010604","20060427","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr139","ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)","http://dati.camera.it/ocd/persona.rdf/p22040","NINO","SOSPIRI","20010604","20060102","http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
