"gruppo","nomeGruppo","deputato","nome","cognome","inizio","fine","legislatura"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3055","LEGA - SALVINI PREMIER (LEGA) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301455","PAOLO","GRIMOLDI","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3052","FRATELLI D'ITALIA (FDI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301457","PAOLA","FRASSINETTI","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (FI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301459","LAURA","RAVETTO","20180327","20201119","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3055","LEGA - SALVINI PREMIER (LEGA) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301459","LAURA","RAVETTO","20201119","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3054","PARTITO DEMOCRATICO (PD) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301463","ANDREA","ORLANDO","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3054","PARTITO DEMOCRATICO (PD) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301465","GIOVANNI","SANGA","20210121","20210413","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3055","LEGA - SALVINI PREMIER (LEGA) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301477","CARMELO","LO MONTE","20180327","20190909","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (MISTO) (23.03.2018","http://dati.camera.it/ocd/persona.rdf/p301477","CARMELO","LO MONTE","20190909","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3055","LEGA - SALVINI PREMIER (LEGA) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301500","GUGLIELMO","PICCHI","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (FI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301531","MARIA ROSARIA","CARFAGNA","20180327","20220727","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (MISTO) (23.03.2018","http://dati.camera.it/ocd/persona.rdf/p301531","MARIA ROSARIA","CARFAGNA","20220727","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (FI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301533","SESTINO","GIACOMONI","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (MISTO) (23.03.2018","http://dati.camera.it/ocd/persona.rdf/p301541","ENRICO","COSTA","20180327","20180418","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (FI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301541","ENRICO","COSTA","20180418","20200804","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (MISTO) (23.03.2018","http://dati.camera.it/ocd/persona.rdf/p301541","ENRICO","COSTA","20200804","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (FI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301559","VALENTINO","VALENTINI","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3054","PARTITO DEMOCRATICO (PD) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301561","MICHELE","BORDO","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3055","LEGA - SALVINI PREMIER (LEGA) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p301573","GIUSEPPINA","CASTIELLO","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (FI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p302089","SIMONE","BALDELLI","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3052","FRATELLI D'ITALIA (FDI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p302103","GIORGIA","MELONI","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (FI) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p302124","MICHAELA","BIANCOFIORE","20180327","20210527","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3591","CORAGGIO ITALIA (CI) (27.05.2021-23.06.2022)","http://dati.camera.it/ocd/persona.rdf/p302124","MICHAELA","BIANCOFIORE","20210527","20220623","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (MISTO) (23.03.2018","http://dati.camera.it/ocd/persona.rdf/p302124","MICHAELA","BIANCOFIORE","20220623","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3055","LEGA - SALVINI PREMIER (LEGA) (27.03.2018","http://dati.camera.it/ocd/persona.rdf/p302151","MASSIMO","GARAVAGLIA","20180327","20221012","http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
